№,№,username_table_stat,time,use_model,sesion_token,price_1_tok,total_price
1,99,Shliamb10,2024-09-11 13:14:55,dall-e-2-1024,1,0.04,0.04
2,98,Shliamb10,2024-09-11 13:14:14,dall-e-2-1024,1,0.04,0.04
3,97,Shliamb10,2024-09-11 13:12:06,dall-e-2-1024,1,0.04,0.04
4,96,Shliamb10,2024-09-11 13:11:34,dall-e-2-1024,1,0.04,0.04
5,95,Shliamb10,2024-09-11 13:07:13,dall-e-2-1024,1,0.04,0.04
6,94,Shliamb10,2024-09-11 13:03:53,dall-e-2-1024,1,0.04,0.04
7,93,Shliamb10,2024-09-11 13:03:00,dall-e-2-1024,1,0.04,0.04
8,92,Shliamb10,2024-09-11 12:56:34,dall-e-2-1024,1,0.04,0.04
9,91,Shliamb10,2024-09-11 00:57:16,gemini-1.5-flash-latest,130,0.000001125,0.00014625
10,90,Shliamb10,2024-09-11 00:57:03,gemini-1.5-flash-latest,284,0.000001125,0.0003195
11,89,Shliamb10,2024-09-11 00:52:15,gemini-1.5-flash-latest,30,0.000001125,0.00003375
12,88,Shliamb10,2024-09-11 00:51:38,gemini-1.5-flash-latest,286,0.000001125,0.00032175
13,87,Shliamb10,2024-09-11 00:51:29,gemini-1.5-flash-latest,51,0.000001125,0.000057375
14,86,Shliamb10,2024-09-11 00:50:57,gemini-1.5-flash-latest,115,0.000001125,0.000129375
15,85,Shliamb10,2024-09-11 00:49:46,gemini-1.5-flash-latest,294,0.000001125,0.00033075
16,84,Shliamb10,2024-09-11 00:49:19,gemini-1.5-flash-latest,289,0.000001125,0.000325125
17,83,Shliamb10,2024-09-11 00:45:23,gemini-1.5-flash-latest,295,0.000001125,0.000331875
18,82,Shliamb10,2024-09-11 00:45:03,gemini-1.5-flash-latest,72,0.000001125,0.000081
19,81,Shliamb10,2024-09-11 00:39:28,gemini-1.5-flash-latest,295,0.000001125,0.000331875
20,80,Shliamb10,2024-09-11 00:38:56,gemini-1.5-flash-latest,42,0.000001125,0.00004725
21,79,Shliamb10,2024-09-11 00:33:19,gemini-1.5-flash-latest,79,0.000001125,0.000088875
22,78,Shliamb10,2024-09-10 18:38:07,gemini-1.5-flash-latest,285,0.000001125,0.000320625
